n,EventType,Timestamp,DeviceID,User ID,Details,Value
22,ПерезагрузкаУстройства,01.10.2023 12:16,Постомат13,Пользователь2,ПерезагрузкаУстройства произошла в Постомат13,Перезагрузка устройства
23,СостояниеОтделений,01.10.2023 11:31,Постомат18,Пользователь7,СостояниеОтделений произошла в Постомат18,Все исправны
24,ОжиданиеПользователя,01.10.2023 12:44,Постомат10,Пользователь14,ОжиданиеПользователя произошла в Постомат10,Ожидание действия
25,ОшибкаВыдачиОтправления,01.10.2023 12:57,Постомат23,Пользователь22,ОшибкаВыдачиОтправления произошла в Постомат23,Замок заблокирован
26,ОшибкаПитания,01.10.2023 11:59,Постомат16,Пользователь27,ОшибкаПитания произошла в Постомат16,Аварийное отключение
27,ПроверкаСостоянияСвязи,01.10.2023 11:41,Постомат11,Пользователь4,ПроверкаСостоянияСвязи произошла в Постомат11,Связь стабильная
28,ПерезагрузкаУстройства,01.10.2023 11:22,Постомат5,Пользователь35,ПерезагрузкаУстройства произошла в Постомат5,Перезагрузка устройства
29,ОшибкаЖесткогоДиска,01.10.2023 11:39,Постомат25,Пользователь13,ОшибкаЖесткогоДиска произошла в Постомат25,Ошибка чтения
30,ОшибкаПитания,01.10.2023 12:31,Постомат4,Пользователь49,ОшибкаПитания произошла в Постомат4,Аварийное отключение
31,ПроверкаЯчеек,01.10.2023 11:41,Постомат12,Пользователь46,ПроверкаЯчеек произошла в Постомат12,Все в порядке
32,ПерезагрузкаУстройства,01.10.2023 11:08,Постомат7,Пользователь20,ПерезагрузкаУстройства произошла в Постомат7,Перезагрузка устройства
33,ПерезагрузкаУстройства,01.10.2023 11:31,Постомат2,Пользователь26,ПерезагрузкаУстройства произошла в Постомат2,Перезагрузка устройства
34,ОшибкаВыдачиОтправления,01.10.2023 12:30,Постомат16,Пользователь20,ОшибкаВыдачиОтправления произошла в Постомат16,Дверца не открылась
35,ПроверкаСостоянияСвязи,01.10.2023 11:20,Постомат16,Пользователь10,ПроверкаСостоянияСвязи произошла в Постомат16,Связь стабильная
36,ОшибкаВыдачиОтправления,01.10.2023 12:17,Постомат6,Пользователь21,ОшибкаВыдачиОтправления произошла в Постомат6,Замок заблокирован
37,СостояниеОтделений,01.10.2023 12:26,Постомат4,Пользователь7,СостояниеОтделений произошла в Постомат4,Все исправны
38,ОшибкаПитания,01.10.2023 12:21,Постомат12,Пользователь49,ОшибкаПитания произошла в Постомат12,Аварийное отключение
39,ПроверкаСостоянияСвязи,01.10.2023 11:41,Постомат15,Пользователь21,ПроверкаСостоянияСвязи произошла в Постомат15,Связь стабильная
40,ОшибкаСканера,01.10.2023 11:03,Постомат10,Пользователь20,ОшибкаСканера произошла в Постомат10,Не удалось считать код
41,ОшибкаВыдачиОтправления,01.10.2023 11:17,Постомат15,Пользователь38,ОшибкаВыдачиОтправления произошла в Постомат15,Дверца не открылась
42,ОшибкаВыдачиОтправления,01.10.2023 12:38,Постомат9,Пользователь3,ОшибкаВыдачиОтправления произошла в Постомат9,Дверца не открылась
43,ПроверкаЯчеек,01.10.2023 11:40,Постомат2,Пользователь15,ПроверкаЯчеек произошла в Постомат2,Все в порядке
44,ОшибкаВыдачиОтправления,01.10.2023 12:46,Постомат3,Пользователь49,ОшибкаВыдачиОтправления произошла в Постомат3,Замок заблокирован
45,ОшибкаВыдачиОтправления,01.10.2023 12:19,Постомат1,Пользователь14,ОшибкаВыдачиОтправления произошла в Постомат1,Дверца не открылась
46,ОшибкаВыдачиОтправления,01.10.2023 12:27,Постомат11,Пользователь21,ОшибкаВыдачиОтправления произошла в Постомат11,Дверца не открылась
47,ОшибкаПитания,01.10.2023 11:08,Постомат10,Пользователь32,ОшибкаПитания произошла в Постомат10,Аварийное отключение
48,СостояниеОтделений,01.10.2023 12:30,Постомат14,Пользователь44,СостояниеОтделений произошла в Постомат14,Все исправны
49,ОжиданиеПользователя,01.10.2023 11:04,Постомат4,Пользователь32,ОжиданиеПользователя произошла в Постомат4,Ожидание действия
50,ПерезагрузкаУстройства,01.10.2023 11:45,Постомат13,Пользователь34,ПерезагрузкаУстройства произошла в Постомат13,Перезагрузка устройства
51,ОшибкаСканера,01.10.2023 11:12,Постомат16,Пользователь41,ОшибкаСканера произошла в Постомат16,Не удалось считать код
52,ПроверкаЯчеек,01.10.2023 12:29,Постомат10,Пользователь7,ПроверкаЯчеек произошла в Постомат10,Все в порядке
53,ОшибкаЖесткогоДиска,01.10.2023 12:02,Постомат2,Пользователь49,ОшибкаЖесткогоДиска произошла в Постомат2,Ошибка чтения
54,ОжиданиеПользователя,01.10.2023 11:29,Постомат8,Пользователь46,ОжиданиеПользователя произошла в Постомат8,Ожидание действия
55,ПроверкаСостоянияСвязи,01.10.2023 12:58,Постомат17,Пользователь25,ПроверкаСостоянияСвязи произошла в Постомат17,Связь стабильная
56,ОтказВОбслуживании,01.10.2023 11:03,Постомат7,Пользователь18,ОтказВОбслуживании произошла в Постомат7,Сбой ПО
57,СостояниеОтделений,01.10.2023 11:25,Постомат16,Пользователь26,СостояниеОтделений произошла в Постомат16,Все исправны
58,СостояниеОтделений,01.10.2023 11:50,Постомат5,Пользователь25,СостояниеОтделений произошла в Постомат5,Все исправны
59,ОшибкаВыдачиОтправления,01.10.2023 12:42,Постомат20,Пользователь36,ОшибкаВыдачиОтправления произошла в Постомат20,Дверца не открылась
60,ОшибкаЖесткогоДиска,01.10.2023 11:45,Постомат21,Пользователь32,ОшибкаЖесткогоДиска произошла в Постомат21,Ошибка чтения
61,ОшибкаЖесткогоДиска,01.10.2023 12:34,Постомат3,Пользователь13,ОшибкаЖесткогоДиска произошла в Постомат3,Ошибка чтения
62,СостояниеОтделений,01.10.2023 12:20,Постомат17,Пользователь41,СостояниеОтделений произошла в Постомат17,Все исправны
63,СостояниеОтделений,01.10.2023 12:58,Постомат20,Пользователь37,СостояниеОтделений произошла в Постомат20,Все исправны
64,ОшибкаЖесткогоДиска,01.10.2023 11:14,Постомат24,Пользователь36,ОшибкаЖесткогоДиска произошла в Постомат24,Ошибка чтения
65,ПроверкаСостоянияСвязи,01.10.2023 11:49,Постомат8,Пользователь44,ПроверкаСостоянияСвязи произошла в Постомат8,Связь стабильная
66,ОтказВОбслуживании,01.10.2023 12:43,Постомат23,Пользователь5,ОтказВОбслуживании произошла в Постомат23,Сбой ПО
67,СостояниеОтделений,01.10.2023 11:44,Постомат2,Пользователь28,СостояниеОтделений произошла в Постомат2,Все исправны
68,ОшибкаЖесткогоДиска,01.10.2023 11:20,Постомат15,Пользователь39,ОшибкаЖесткогоДиска произошла в Постомат15,Ошибка чтения
69,ОшибкаПитания,01.10.2023 12:49,Постомат2,Пользователь30,ОшибкаПитания произошла в Постомат2,Аварийное отключение
70,ПроверкаСостоянияСвязи,01.10.2023 11:38,Постомат4,Пользователь26,ПроверкаСостоянияСвязи произошла в Постомат4,Связь стабильная
71,ОшибкаВыдачиОтправления,01.10.2023 11:39,Постомат25,Пользователь23,ОшибкаВыдачиОтправления произошла в Постомат25,Дверца не открылась
72,ОшибкаВыдачиОтправления,01.10.2023 12:22,Постомат22,Пользователь13,ОшибкаВыдачиОтправления произошла в Постомат22,Дверца не открылась
73,ОжиданиеПользователя,01.10.2023 12:21,Постомат18,Пользователь40,ОжиданиеПользователя произошла в Постомат18,Ожидание действия
74,Предупреждение,01.10.2023 12:53,Постомат12,Пользователь31,Предупреждение произошла в Постомат12,Ошибка соединения
75,ПерезагрузкаУстройства,01.10.2023 12:41,Постомат12,Пользователь50,ПерезагрузкаУстройства произошла в Постомат12,Перезагрузка устройства
76,ОшибкаЖесткогоДиска,01.10.2023 11:49,Постомат4,Пользователь33,ОшибкаЖесткогоДиска произошла в Постомат4,Ошибка чтения
77,Предупреждение,01.10.2023 12:07,Постомат7,Пользователь35,Предупреждение произошла в Постомат7,Ошибка соединения
78,ПроверкаЯчеек,01.10.2023 12:16,Постомат18,Пользователь21,ПроверкаЯчеек произошла в Постомат18,Все в порядке
79,ОшибкаСканера,01.10.2023 11:16,Постомат24,Пользователь13,ОшибкаСканера произошла в Постомат24,Не удалось считать код
80,ОшибкаВыдачиОтправления,01.10.2023 12:09,Постомат5,Пользователь18,ОшибкаВыдачиОтправления произошла в Постомат5,Дверца не открылась
81,ОшибкаВыдачиОтправления,01.10.2023 11:11,Постомат12,Пользователь4,ОшибкаВыдачиОтправления произошла в Постомат12,Дверца не открылась
82,ОтказВОбслуживании,01.10.2023 11:29,Постомат3,Пользователь6,ОтказВОбслуживании произошла в Постомат3,Сбой ПО
83,ОшибкаЖесткогоДиска,01.10.2023 11:05,Постомат8,Пользователь18,ОшибкаЖесткогоДиска произошла в Постомат8,Ошибка чтения
84,ОшибкаЖесткогоДиска,01.10.2023 11:58,Постомат6,Пользователь34,ОшибкаЖесткогоДиска произошла в Постомат6,Ошибка чтения
85,ОтказВОбслуживании,01.10.2023 12:57,Постомат3,Пользователь24,ОтказВОбслуживании произошла в Постомат3,Сбой ПО
86,ОшибкаПитания,01.10.2023 11:07,Постомат7,Пользователь25,ОшибкаПитания произошла в Постомат7,Аварийное отключение
87,ПроверкаЯчеек,01.10.2023 12:02,Постомат24,Пользователь19,ПроверкаЯчеек произошла в Постомат24,Все в порядке
88,ПроверкаЯчеек,01.10.2023 12:09,Постомат22,Пользователь17,ПроверкаЯчеек произошла в Постомат22,Все в порядке
89,ОшибкаЖесткогоДиска,01.10.2023 11:51,Постомат4,Пользователь38,ОшибкаЖесткогоДиска произошла в Постомат4,Ошибка чтения
90,ОтказВОбслуживании,01.10.2023 12:54,Постомат5,Пользователь5,ОтказВОбслуживании произошла в Постомат5,Сбой ПО
91,ОшибкаВыдачиОтправления,01.10.2023 11:41,Постомат14,Пользователь18,ОшибкаВыдачиОтправления произошла в Постомат14,Дверца не открылась
92,ОшибкаВыдачиОтправления,01.10.2023 12:12,Постомат1,Пользователь11,ОшибкаВыдачиОтправления произошла в Постомат1,Замок заблокирован
93,ПерезагрузкаУстройства,01.10.2023 12:45,Постомат3,Пользователь10,ПерезагрузкаУстройства произошла в Постомат3,Перезагрузка устройства
94,ОшибкаЖесткогоДиска,01.10.2023 12:52,Постомат7,Пользователь22,ОшибкаЖесткогоДиска произошла в Постомат7,Ошибка чтения
95,ОшибкаЖесткогоДиска,01.10.2023 11:38,Постомат22,Пользователь36,ОшибкаЖесткогоДиска произошла в Постомат22,Ошибка чтения
96,ОтказВОбслуживании,01.10.2023 12:28,Постомат5,Пользователь28,ОтказВОбслуживании произошла в Постомат5,Сбой ПО
97,Предупреждение,01.10.2023 12:55,Постомат14,Пользователь17,Предупреждение произошла в Постомат14,Ошибка соединения
98,ОшибкаСканера,01.10.2023 12:50,Постомат15,Пользователь37,ОшибкаСканера произошла в Постомат15,Не удалось считать код
99,ОшибкаВыдачиОтправления,01.10.2023 12:53,Постомат16,Пользователь31,ОшибкаВыдачиОтправления произошла в Постомат16,Замок заблокирован
100,ОшибкаВыдачиОтправления,01.10.2023 11:55,Постомат5,Пользователь20,ОшибкаВыдачиОтправления произошла в Постомат5,Дверца не открылась
